#Table: J/MNRAS/434/3236/table2.dat (http://cdsarc.cds.unistra.fr)
-------------------------------------------------------------------------
                     |     |e_p|     |e_p|      |    e|      |    e|
     RAdeg      DEdeg| pmRA|mRA| pmDE|mDE|  Jmag|_Jmag|  Kmag|_Kmag| Mass
---------------------|-----|---|-----|---|------|-----|------|-----|-----
130.236211 +19.734776|-36.7|2.2|-11.9|2.2|10.719|0.025|10.213|0.020|0.901
130.237221 +19.934859|-36.4|1.1|-11.9|1.1|08.127|0.020|08.051|0.023|1.702
130.239624 +20.478189|-41.4|5.6|-07.7|5.6|15.091|0.037|14.308|0.075|0.181
130.243518 +19.632680|-28.4|4.1|-06.6|4.1|14.721|0.040|13.824|0.058|0.216
130.243523 +18.846184|-36.6|4.1|-19.9|4.1|13.989|0.028|13.134|0.034|0.313
130.260926 +20.457722|-37.6|4.1|-10.7|4.1|10.780|0.021|10.291|0.016|0.888
130.261013 +18.168534|-30.8|4.1|-10.0|4.1|14.867|0.034|13.889|0.054|0.201
130.263081 +18.931958|-32.8|4.1|-09.1|4.1|13.959|0.026|13.096|0.031|0.318
130.263115 +19.302563|-24.0|5.5|-15.8|5.5|15.006|0.044|14.212|0.069|0.188
130.272159 +20.473470|-40.0|4.1|-13.7|4.1|12.268|0.021|11.411|0.019|0.612
130.276929 +19.102964|-39.8|5.5|-12.8|5.5|15.108|0.042|14.173|0.060|0.179
130.278734 +19.443634|-38.8|4.1|-16.7|4.1|13.748|0.024|12.853|0.030|0.351
130.285051 +21.555835|-24.1|4.1|-12.3|4.1|14.204|0.028|13.372|0.036|0.282
130.288613 +17.571389|-32.2|3.9|-13.5|3.9|14.740|0.038|13.862|0.042|0.214
130.292354 +19.203687|-34.6|5.5|-19.8|5.5|14.892|0.037|13.895|0.050|0.198
130.292949 +19.818612|-35.6|1.6|-11.9|1.6|10.183|0.022|09.753|0.020|1.021
130.293807 +19.935207|-32.7|4.1|-10.1|4.1|12.860|0.022|11.971|0.022|0.502
130.293828 +18.268627|-38.8|4.1|-14.8|4.1|12.870|0.022|11.962|0.022|0.500
130.294817 +19.031638|-32.8|4.1|-08.6|4.1|13.705|0.026|12.842|0.028|0.357
130.297100 +19.529653|-37.4|4.1|-11.0|4.1|12.768|0.022|11.938|0.020|0.518
130.298387 +22.264338|-36.4|4.1|-18.6|4.1|12.987|0.025|12.098|0.020|0.477
130.307391 +19.921998|-36.4|1.1|-11.6|1.1|07.875|0.021|07.774|0.017|1.827
130.308018 +18.969179|-40.0|4.1|-10.1|4.1|12.644|0.022|11.759|0.018|0.542
130.308545 +20.741595|-40.6|4.1|-14.3|4.1|13.014|0.025|12.147|0.022|0.472
130.310214 +20.996208|-38.6|5.5|-16.2|5.5|14.618|0.031|13.663|0.044|0.228
130.312145 +17.460171|-37.4|5.2|-06.9|5.2|14.835|0.038|13.954|0.040|0.204
130.314235 +20.037777|-42.4|4.1|-10.9|4.1|11.833|0.022|11.022|0.018|0.690
130.314286 +19.086232|-32.0|4.1|-10.7|4.1|13.109|0.025|12.254|0.021|0.454
130.317957 +20.815229|-42.5|5.6|-17.7|5.6|15.359|0.050|14.484|0.088|0.160
130.322870 +20.542504|-42.8|4.1|-11.5|4.1|14.019|0.024|13.110|0.030|0.309
130.330104 +20.777554|-38.2|4.1|-15.5|4.1|11.379|0.025|10.697|0.018|0.770
130.332044 +19.098436|-34.9|4.1|-16.2|4.1|14.931|0.039|14.004|0.058|0.195
130.333006 +19.634646|-39.0|4.1|-08.3|4.1|11.455|0.023|10.762|0.020|0.757
130.334749 +18.961937|-33.9|4.1|-12.9|4.1|14.091|0.030|13.160|0.032|0.298
130.335182 +19.622910|-40.2|4.1|-12.5|4.1|12.676|0.022|11.789|0.024|0.536
130.344071 +18.933902|-38.1|4.1|-10.1|4.1|11.162|0.023|10.536|0.019|0.811
130.348810 +20.939491|-41.9|5.6|-19.9|5.6|15.327|0.052|14.457|0.080|0.162
130.350761 +18.234082|-36.4|4.1|-16.8|4.1|12.279|0.022|11.455|0.020|0.610
130.351913 +20.130429|-40.0|4.1|-19.3|4.1|12.531|0.022|11.639|0.020|0.563
130.357680 +19.943568|-34.7|1.1|-10.5|1.1|09.659|0.023|09.329|0.020|1.148
130.357807 +21.520941|-23.8|5.6|-09.9|5.6|15.287|0.045|14.294|0.068|0.165
130.358438 +19.987542|-38.2|4.1|-14.3|4.1|13.890|0.026|13.077|0.030|0.328
130.358968 +17.803540|-35.3|3.9|-11.1|3.9|13.652|0.030|12.767|0.025|0.364
130.361665 +19.876861|-33.0|4.1|-07.0|4.1|14.657|0.032|13.765|0.049|0.223
130.365017 +19.277626|-35.6|4.1|-08.9|4.1|12.593|0.022|11.717|0.023|0.552
130.365522 +21.061362|-38.7|4.1|-14.2|4.1|13.664|0.025|12.757|0.027|0.362
130.369700 +19.713608|-32.6|4.1|-22.6|4.1|14.873|0.039|13.973|0.056|0.200
130.370042 +19.975610|-41.4|4.1|-14.4|4.1|12.993|0.022|12.099|0.022|0.476
130.370793 +18.759731|-29.5|5.5|-09.5|5.5|15.125|0.039|14.190|0.065|0.178
130.377927 +18.871872|-39.1|4.1|-13.6|4.1|10.769|0.026|10.154|0.021|0.891
130.381419 +18.500626|-35.1|1.2|-13.3|1.3|09.364|0.022|09.105|0.021|1.226
130.384816 +18.669651|-30.0|4.1|-10.1|4.1|13.803|0.024|12.919|0.027|0.342
130.385494 +20.101910|-33.2|4.1|-11.2|4.1|14.579|0.031|13.716|0.039|0.233
130.387925 +16.069239|-29.0|5.3|-03.4|5.3|14.280|0.036|13.367|0.037|0.271
130.389771 +19.550071|-39.8|4.1|-13.2|4.1|14.566|0.031|13.683|0.042|0.234
130.390949 +22.798802|-33.5|4.1|-18.0|4.1|13.816|0.023|12.931|0.023|0.340
130.398717 +18.743041|-35.7|4.1|-14.7|4.1|13.155|0.022|12.318|0.022|0.445
130.399414 +21.293643|-38.9|5.5|-16.3|5.5|14.289|0.031|13.453|0.039|0.270
130.399981 +19.107087|-35.0|4.1|-13.1|4.1|11.752|0.020|10.978|0.018|0.705
130.400846 +19.142642|-36.0|1.0|-14.3|1.0|08.516|0.023|08.351|0.022|1.521
130.402575 +18.904297|-36.6|4.1|-18.3|4.1|13.314|0.022|12.435|0.026|0.416
130.405710 +20.210238|-39.8|4.1|-13.8|4.1|14.185|0.029|13.333|0.032|0.284
130.405878 +19.520549|-39.3|4.1|-11.0|4.1|11.426|0.020|10.731|0.018|0.762
130.410362 +17.640021|-40.2|3.9|-11.7|3.9|12.277|0.025|11.429|0.018|0.611
130.413388 +19.674508|-39.2|4.1|-13.8|4.1|13.186|0.022|12.303|0.021|0.440
130.418528 +17.447769|-26.6|3.9|-10.5|3.9|13.733|0.023|12.880|0.022|0.353
130.423920 +19.832625|-37.1|4.1|-20.0|4.1|14.515|0.033|13.603|0.042|0.240
130.425265 +20.568878|-41.3|5.5|-13.9|5.5|14.796|0.033|13.829|0.044|0.208
130.426449 +18.213307|-36.4|4.2|-19.6|4.2|15.272|0.042|14.269|0.065|0.166
130.430583 +21.361729|-38.5|5.5|-15.9|5.5|14.896|0.034|13.911|0.050|0.198
130.433907 +20.604447|-35.1|4.1|-14.1|4.1|13.867|0.027|12.991|0.026|0.332
130.449660 +20.389612|-38.8|5.6|-14.8|5.6|15.079|0.040|14.230|0.061|0.182
130.456104 +20.076725|-33.9|4.1|-15.8|4.1|12.841|0.022|11.974|0.024|0.505
130.458553 +19.659658|-37.2|4.1|-08.3|4.1|12.737|0.022|11.891|0.023|0.524
130.460785 +19.494317|-33.0|5.5|-11.4|5.5|15.034|0.039|14.125|0.057|0.186
130.466326 +20.346639|-38.1|4.1|-18.2|4.1|13.048|0.023|12.192|0.024|0.465
130.467617 +19.707811|-32.7|4.1|-08.0|4.1|13.893|0.027|13.011|0.026|0.328
130.467853 +18.051877|-38.3|4.1|-15.0|4.1|12.170|0.022|11.337|0.020|0.629
130.471419 +20.159438|-36.8|1.1|-12.6|1.1|07.926|0.026|07.790|0.017|1.801
130.472296 +19.265486|-32.1|5.5|-12.1|5.5|14.762|0.033|13.887|0.049|0.212
130.476566 +19.257389|-35.9|1.3|-12.6|1.3|10.026|0.022|09.643|0.019|1.058
130.477674 +18.302827|-30.3|4.1|-17.3|4.1|14.387|0.027|13.494|0.038|0.257
130.482795 +19.689677|-36.2|1.1|-15.0|1.1|09.869|0.025|09.544|0.018|1.096
130.497276 +19.745882|-40.8|4.1|-08.7|4.1|12.743|0.022|11.889|0.019|0.523
130.513634 +21.172653|-43.5|5.5|-13.2|5.5|14.870|0.033|13.945|0.049|0.200
130.521560 +20.965692|-39.6|4.1|-18.7|4.1|12.383|0.022|11.514|0.020|0.592
130.532731 +22.184763|-38.8|4.1|-16.9|4.1|13.881|0.025|13.017|0.028|0.329
130.542876 +18.766757|-33.2|4.1|-17.8|4.1|14.636|0.032|13.746|0.046|0.226
130.545031 +18.934375|-35.8|1.0|-12.8|0.7|07.443|0.018|07.353|0.020|2.034
130.547902 +19.277008|-37.5|2.2|-09.8|2.2|10.660|0.022|10.173|0.016|0.914
130.551403 +19.213546|-38.8|4.1|-10.7|4.1|11.540|0.022|10.833|0.016|0.741
130.552993 +18.683621|-34.1|4.1|-13.8|4.1|14.387|0.029|13.560|0.040|0.257
130.556839 +19.835731|-40.8|4.1|-16.5|4.1|12.949|0.023|12.054|0.021|0.484
130.564560 +19.816013|-40.0|4.1|-11.0|4.1|13.481|0.026|12.625|0.022|0.389
130.569360 +20.092360|-43.1|4.1|-15.2|4.1|11.746|0.023|10.989|0.018|0.706
130.573080 +17.987461|-42.2|4.1|-16.7|4.1|13.706|0.026|12.829|0.028|0.356
130.576373 +18.392225|-34.6|4.1|-13.9|4.1|13.794|0.023|12.922|0.026|0.343
130.580150 +19.037441|-32.2|4.1|-09.4|4.1|13.437|0.024|12.529|0.023|0.396
130.583687 +19.151593|-37.1|4.1|-12.0|4.1|11.394|0.021|10.696|0.016|0.768
130.583864 +20.036589|-35.9|1.1|-15.2|1.1|08.676|0.029|08.408|0.021|1.455
130.584196 +21.745531|-44.8|5.6|-09.6|5.6|15.449|0.048|14.490|0.085|0.153
130.587947 +20.055792|-38.0|4.1|-20.1|4.1|14.220|0.027|13.272|0.035|0.279
130.590059 +20.181643|-34.4|1.1|-14.3|1.1|08.444|0.023|08.280|0.021|1.553
130.591812 +18.768279|-28.1|4.1|-18.6|4.1|14.949|0.037|14.003|0.056|0.193
130.623662 +19.331276|-32.2|4.1|-13.1|4.1|15.017|0.040|14.053|0.055|0.187
130.624506 +19.975476|-39.0|4.1|-14.8|4.1|14.740|0.033|13.733|0.046|0.214
130.628092 +19.116040|-36.9|4.1|-17.6|4.1|14.510|0.030|13.594|0.044|0.241
130.628214 +19.491952|-36.3|4.1|-11.5|4.1|14.101|0.028|13.233|0.032|0.297
130.634382 +19.396195|-36.1|1.5|-10.4|1.6|09.836|0.022|09.458|0.016|1.104
130.641777 +19.603411|-38.4|4.1|-14.5|4.1|12.931|0.023|12.106|0.022|0.488
130.645248 +20.994673|-40.7|4.1|-15.5|4.1|12.631|0.023|11.747|0.018|0.544
130.645634 +18.929377|-25.9|4.1|-16.5|4.1|14.164|0.031|13.316|0.032|0.287
130.653370 +18.388851|-32.5|1.4|-14.3|1.5|09.163|0.023|08.878|0.019|1.284
130.654187 +20.142185|-43.5|4.1|-11.8|4.1|11.634|0.025|10.871|0.019|0.725
130.656712 +16.584389|-26.3|3.9|-11.2|3.9|12.397|0.029|11.568|0.022|0.589
130.664314 +19.414434|-40.0|4.1|-08.3|4.1|14.348|0.032|13.499|0.043|0.262
130.667540 +19.133087|-35.4|1.6|-10.8|1.6|10.685|0.020|10.186|0.018|0.908
130.670697 +19.532929|-30.5|4.1|-16.9|4.1|15.002|0.043|14.094|0.060|0.188
130.675320 +19.292303|-37.1|4.1|-10.2|4.1|11.856|0.022|11.045|0.023|0.685
130.675710 +16.788086|-28.3|3.9|-21.1|3.9|14.430|0.029|13.492|0.030|0.251
130.677068 +19.099708|-35.7|1.6|-13.3|1.6|10.302|0.021|09.881|0.021|0.993
130.685875 +18.466673|-40.2|4.1|-12.7|4.1|14.517|0.038|13.644|0.054|0.240
130.689101 +20.592662|-35.4|5.6|-10.4|5.6|14.906|0.041|14.130|0.067|0.197
130.691501 +21.271196|-40.6|4.1|-12.5|4.1|11.730|0.023|10.919|0.017|0.708
130.693947 +18.438594|-36.5|5.5|-06.6|5.5|14.986|0.048|14.087|0.067|0.190
130.701970 +20.573429|-34.9|2.2|-12.7|2.2|10.793|0.023|10.262|0.018|0.886
130.707012 +18.859746|-31.7|4.1|-18.0|4.1|12.610|0.021|11.737|0.023|0.548
130.710418 +19.917712|-40.5|4.1|-09.5|4.1|13.526|0.026|12.663|0.026|0.382
130.710492 +20.334426|-39.4|5.5|-15.4|5.5|14.957|0.042|14.069|0.056|0.192
130.716539 +20.088720|-29.8|4.1|-12.8|4.1|15.036|0.045|13.964|0.070|0.186
130.717843 +19.862768|-39.7|4.1|-08.4|4.1|13.001|0.025|12.209|0.023|0.474
130.736168 +20.511735|-30.7|4.1|-03.0|4.1|14.377|0.031|13.475|0.038|0.258
130.737855 +18.924302|-26.7|4.1|-16.9|4.1|10.772|0.021|10.208|0.021|0.890
130.743711 +18.729032|-23.1|5.5|-14.7|5.5|14.923|0.041|14.134|0.061|0.195
130.752279 +20.337801|-36.3|1.6|-14.7|1.6|10.185|0.023|09.774|0.020|1.020
130.757769 +19.901271|-39.0|5.5|-19.7|5.5|14.980|0.045|14.053|0.058|0.190
130.760070 +19.167569|-37.3|2.2|-11.3|2.2|10.615|0.020|10.158|0.021|0.923
130.762068 +21.753792|-42.5|4.1|-18.1|4.1|13.975|0.027|13.069|0.031|0.315
130.772017 +19.465170|-39.3|4.1|-12.5|4.1|12.360|0.023|11.546|0.021|0.596
130.773199 +18.918343|-32.7|5.5|-12.5|5.5|15.083|0.049|14.312|0.075|0.182
130.775626 +19.414489|-36.7|4.1|-16.5|4.1|13.693|0.025|12.790|0.025|0.358
130.777929 +19.791573|-38.9|4.1|-14.6|4.1|11.466|0.022|10.772|0.022|0.755
130.784256 +19.713209|-38.1|4.1|-12.5|4.1|11.298|0.023|10.667|0.017|0.786
130.784960 +19.468362|-36.3|4.1|-12.1|4.1|13.247|0.025|12.388|0.023|0.428
130.800196 +18.695851|-35.4|5.5|-14.4|5.5|14.877|0.042|14.034|0.060|0.200
130.802716 +19.574719|-38.0|4.1|-21.6|4.1|14.313|0.030|13.463|0.035|0.266
130.803861 +18.530793|-35.7|4.1|-11.3|4.1|13.168|0.027|12.278|0.024|0.443
130.811140 +17.708389|-33.2|3.8|-15.0|3.8|14.547|0.038|13.606|0.035|0.236
130.813430 +20.065563|-43.1|4.1|-12.8|4.1|11.359|0.023|10.683|0.021|0.774
130.816103 +19.109185|-32.1|4.1|-15.7|4.1|14.210|0.029|13.338|0.038|0.281
130.821061 +20.411289|-37.1|5.6|-10.8|5.6|15.292|0.058|14.538|0.086|0.165
130.826800 +19.518837|-42.3|4.1|-09.3|4.1|13.573|0.025|12.684|0.027|0.375
130.833878 +20.073848|-45.7|5.5|-15.5|5.5|14.754|0.038|13.884|0.051|0.213
130.834545 +20.079332|-43.5|4.1|-10.6|4.1|14.456|0.033|13.565|0.037|0.248
130.843335 +19.200195|-38.0|4.1|-16.1|4.1|13.571|0.029|12.653|0.026|0.376
130.843339 +19.200207|-31.0|5.0|-23.1|5.0|13.571|0.029|12.653|0.026|0.376
130.843569 +20.907029|-38.6|5.6|-10.9|5.6|15.294|0.052|14.337|0.078|0.165
130.845869 +21.152226|-35.1|5.6|-23.5|5.6|15.467|0.059|14.504|0.090|0.152
130.849678 +18.679191|-30.3|4.1|-13.9|4.1|13.020|0.025|12.156|0.020|0.471
130.854216 +20.565349|-39.2|4.1|-12.0|4.1|12.265|0.023|11.402|0.017|0.613
130.864961 +19.827931|-39.9|4.1|-11.6|4.1|13.778|0.029|12.923|0.030|0.346
130.879398 +18.548530|-36.0|4.1|-12.4|4.1|11.524|0.023|10.741|0.018|0.744
130.885920 +19.992488|-41.1|3.9|-18.9|3.9|13.775|0.026|12.918|0.027|0.346
130.890625 +19.406868|-28.4|4.1|-13.3|4.1|14.127|0.032|13.243|0.028|0.293
130.894230 +18.753833|-33.4|4.1|-18.0|4.1|14.173|0.031|13.301|0.030|0.286
130.897320 +19.003927|-35.0|4.1|-13.1|4.1|12.651|0.026|11.787|0.026|0.540
130.897326 +19.003935|-26.4|5.0|-17.8|5.0|12.651|0.026|11.787|0.026|0.540
130.897920 +19.456510|-38.5|3.9|-20.7|3.9|14.527|0.036|13.601|0.039|0.239
130.902457 +21.319375|-37.4|4.1|-20.6|4.1|13.877|0.030|13.039|0.026|0.330
130.903512 +20.540117|-36.2|4.1|-14.9|4.1|13.497|0.028|12.592|0.022|0.387
130.903707 +20.537238|-40.5|4.1|-16.4|4.1|12.839|0.023|11.944|0.017|0.506
130.913905 +18.425565|-36.1|4.1|-11.1|4.1|13.410|0.022|12.539|0.026|0.400
130.929461 +17.908304|-38.7|4.0|-16.0|4.0|12.209|0.026|11.305|0.021|0.622
130.931501 +19.075866|-32.5|6.7|-11.9|6.7|11.436|0.023|10.787|0.019|0.760
130.936395 +19.066315|-36.0|4.1|-12.1|4.1|12.784|0.023|11.871|0.019|0.516
130.936403 +21.209541|-38.1|4.1|-16.9|4.1|12.244|0.025|11.408|0.019|0.616
130.947366 +18.050020|-27.7|4.1|-11.8|4.1|14.087|0.030|13.218|0.033|0.299
130.950625 +18.800749|-35.4|1.4|-10.6|1.4|09.189|0.022|08.927|0.020|1.276
130.960087 +17.418841|-32.9|4.0|-17.2|4.0|14.832|0.038|13.917|0.044|0.204
130.961901 +20.365749|-35.7|4.1|-07.9|4.1|12.404|0.025|11.511|0.022|0.588
130.965758 +17.655606|-34.1|3.8|-06.1|3.8|14.086|0.035|13.202|0.024|0.299
130.965886 +19.913620|-42.1|4.1|-16.3|4.1|11.817|0.022|10.974|0.018|0.693
130.977814 +18.893584|-34.7|4.1|-16.0|4.1|10.961|0.023|10.412|0.018|0.851
130.986060 +19.271677|-32.1|5.6|-15.8|5.6|15.432|0.059|14.611|0.079|0.155
130.986350 +19.725630|-39.8|4.1|-14.6|4.1|11.236|0.022|10.527|0.022|0.797
130.986411 +18.355984|-26.5|5.5|-18.9|5.5|15.360|0.061|14.316|0.071|0.160
130.991401 +19.516460|-31.3|5.6|-21.1|5.6|15.382|0.057|14.508|0.075|0.158
130.996943 +19.316147|-33.7|4.1|-13.8|4.1|13.084|0.023|12.163|0.025|0.459
130.997123 +22.604743|-24.7|4.2|-09.4|4.2|15.396|0.065|14.488|0.083|0.157
131.002771 +20.645967|-45.8|5.6|-10.9|5.6|15.102|0.047|14.273|0.068|0.180
131.016062 +19.385108|-24.9|4.1|-12.0|4.1|11.850|0.023|11.084|0.017|0.686
131.016258 +19.020232|-22.3|5.5|-08.3|5.5|14.661|0.033|13.818|0.048|0.223
131.029127 +19.791661|-33.1|4.1|-11.8|4.1|13.507|0.027|12.650|0.030|0.385
131.045551 +21.793976|-40.1|4.1|-15.6|4.1|13.597|0.028|12.719|0.029|0.372
131.048502 +20.216669|-32.4|4.1|-19.1|4.1|13.788|0.029|12.861|0.030|0.344
131.051323 +20.716937|-45.9|5.5|-10.1|5.5|14.509|0.034|13.541|0.037|0.241
131.055173 +18.819834|-41.3|3.9|-11.6|3.9|11.747|0.023|10.941|0.023|0.705
131.071113 +18.736609|-35.5|2.1|-11.6|2.1|10.766|0.023|10.262|0.018|0.891
131.076066 +20.830112|-28.4|4.1|-14.5|4.1|14.370|0.030|13.458|0.038|0.259
131.079718 +18.936082|-38.0|4.1|-14.9|4.1|12.972|0.023|12.059|0.021|0.480
131.088508 +19.936589|-37.2|4.1|-21.2|4.1|14.109|0.026|13.263|0.035|0.295
131.094144 +18.385919|-35.0|4.1|-13.0|4.1|13.846|0.027|12.936|0.029|0.335
131.096705 +20.232131|-37.6|4.1|-20.8|4.1|14.321|0.029|13.353|0.031|0.265
131.106487 +22.599765|-37.5|4.1|-17.2|4.1|13.813|0.021|12.970|0.031|0.340
131.113394 +18.872419|-34.9|4.1|-21.9|4.1|14.578|0.039|13.640|0.045|0.233
131.115359 +18.969326|-37.4|4.1|-13.3|4.1|13.780|0.029|12.873|0.028|0.346
131.132762 +19.554806|-34.9|4.1|-17.5|4.1|13.843|0.032|12.958|0.033|0.335
131.134252 +21.403820|-41.3|4.1|-06.0|4.1|12.025|0.021|11.216|0.019|0.654
131.135790 +21.683116|-41.5|4.1|-12.5|4.1|13.331|0.025|12.455|0.026|0.413
131.137065 +18.964066|-38.8|4.1|-14.9|4.1|13.308|0.025|12.390|0.021|0.417
131.143722 +20.341535|-32.6|4.1|-15.5|4.1|14.095|0.028|13.255|0.033|0.298
131.151656 +19.288250|-44.4|5.6|-20.1|5.6|15.475|0.063|14.628|0.093|0.152
131.154299 +19.710864|-34.7|1.2|-14.3|1.3|09.420|0.025|09.054|0.017|1.211
131.168718 +21.764910|-39.0|4.1|-19.5|4.1|13.232|0.024|12.339|0.022|0.431
131.169800 +20.193628|-37.9|4.1|-15.8|4.1|11.884|0.023|11.071|0.020|0.680
131.186686 +19.406150|-36.3|4.1|-13.6|4.1|13.252|0.023|12.343|0.019|0.428
131.189541 +16.739411|-26.3|5.2|-19.6|5.2|15.104|0.036|14.168|0.051|0.180
131.199486 +16.196874|-26.7|3.8|-14.1|3.8|15.233|0.040|14.415|0.054|0.169
131.202948 +20.290546|-38.6|4.1|-14.1|4.1|11.080|0.022|10.508|0.019|0.827
131.221508 +16.966964|-31.7|5.5|-16.9|5.5|14.532|0.034|13.682|0.036|0.238
131.224449 +21.618507|-37.6|4.1|-16.2|4.1|12.883|0.024|12.006|0.024|0.497
131.235149 +18.371406|-39.2|4.1|-05.5|4.1|12.465|0.021|11.601|0.020|0.576
131.254414 +20.442217|-37.1|1.6|-13.7|1.6|10.516|0.022|10.129|0.018|0.945
131.261014 +20.512171|-28.8|4.1|-09.3|4.1|11.954|0.023|11.105|0.019|0.667
131.265996 +21.471708|-28.9|5.6|-08.4|5.6|15.137|0.043|14.225|0.063|0.177
131.274602 +19.299303|-33.5|4.1|-16.0|4.1|14.401|0.029|13.547|0.039|0.255
131.285597 +19.152279|-37.0|3.9|-14.2|3.9|14.521|0.028|13.576|0.040|0.240
131.310237 +19.555712|-27.4|5.5|-15.9|5.5|14.770|0.038|13.905|0.053|0.211
131.312244 +18.761089|-31.1|4.1|-12.7|4.1|14.237|0.031|13.412|0.042|0.277
131.314866 +21.059992|-36.1|4.1|-11.6|4.1|13.549|0.023|12.655|0.026|0.379
131.329925 +19.002983|-36.6|4.1|-15.6|4.1|11.655|0.020|10.897|0.017|0.721
131.337738 +18.825761|-40.0|5.5|-11.5|5.5|15.246|0.049|14.219|0.065|0.168
131.338187 +18.884281|-30.4|5.5|-18.3|5.5|14.500|0.032|13.630|0.037|0.242
131.343106 +19.827801|-39.4|3.9|-15.0|3.9|13.346|0.026|12.498|0.023|0.411
131.343346 +19.035617|-33.4|3.9|-16.6|3.9|13.698|0.026|12.828|0.026|0.358
131.357111 +18.713333|-39.2|3.9|-13.3|3.9|11.064|0.020|10.441|0.018|0.831
131.358281 +20.422932|-39.6|4.1|-15.4|4.1|12.054|0.022|11.210|0.020|0.649
131.358535 +19.698458|-35.2|3.9|-15.6|3.9|13.047|0.025|12.183|0.020|0.466
131.359605 +19.784427|-34.0|3.9|-12.8|3.9|12.619|0.023|11.720|0.023|0.547
131.360992 +19.236871|-36.1|3.9|-16.8|3.9|13.917|0.026|13.037|0.028|0.324
131.369145 +18.996685|-33.0|5.6|-14.5|5.6|15.287|0.061|14.397|0.067|0.165
131.384086 +18.964472|-29.3|3.9|-15.2|3.9|13.787|0.026|12.918|0.031|0.344
131.392867 +16.911016|-39.6|5.0|-11.4|5.0|14.928|0.042|14.163|0.054|0.195
131.403558 +18.598700|-32.2|3.7|-17.7|3.7|12.987|0.023|12.062|0.021|0.477
131.403665 +18.723630|-31.3|3.7|-12.4|3.7|14.544|0.035|13.682|0.042|0.237
131.412220 +22.498815|-28.8|4.1|-15.9|4.1|13.296|0.023|12.481|0.028|0.420
131.418735 +20.173753|-36.5|3.9|-21.5|3.9|13.483|0.026|12.594|0.026|0.389
131.435324 +19.675673|-35.8|3.7|-19.9|3.7|13.268|0.025|12.417|0.023|0.425
131.441200 +20.494728|-39.3|4.1|-16.0|4.1|12.931|0.023|12.101|0.022|0.488
131.452804 +21.532367|-32.6|4.1|-19.6|4.1|13.463|0.023|12.568|0.024|0.392
131.469994 +19.316844|-41.4|3.7|-16.4|3.7|12.952|0.023|12.103|0.019|0.484
131.496523 +19.253514|-42.2|3.7|-10.9|3.7|13.767|0.027|12.880|0.035|0.348
131.500091 +17.827431|-38.0|3.7|-12.5|3.7|14.064|0.028|13.161|0.028|0.302
131.509289 +19.116528|-34.2|3.7|-15.1|3.7|13.267|0.023|12.372|0.025|0.425
131.513272 +19.529757|-40.1|3.7|-15.0|3.7|13.411|0.026|12.539|0.025|0.400
131.534048 +18.040896|-34.2|5.0|-16.0|5.0|14.724|0.036|13.851|0.045|0.216
131.538304 +21.608024|-38.5|4.1|-19.1|4.1|14.149|0.027|13.180|0.030|0.290
131.542076 +19.528836|-41.1|3.7|-16.0|3.7|12.235|0.023|11.372|0.018|0.618
131.554469 +20.728669|-36.4|4.1|-12.9|4.1|11.116|0.022|10.494|0.017|0.820
131.557568 +20.856872|-37.8|4.1|-18.0|4.1|11.656|0.022|10.857|0.022|0.721
131.565478 +18.097216|-32.1|5.0|-15.1|5.0|15.318|0.055|14.341|0.074|0.163
131.576130 +18.719217|-30.4|3.7|-12.6|3.7|14.101|0.029|13.259|0.036|0.297
131.583568 +18.683577|-26.9|3.7|-09.5|3.7|13.181|0.027|12.257|0.026|0.441
131.583586 +21.008929|-31.2|5.5|-13.3|5.5|14.733|0.038|13.850|0.049|0.215
131.599527 +19.967858|-37.6|3.7|-11.9|3.7|13.456|0.025|12.612|0.022|0.393
131.601321 +20.527411|-32.6|4.1|-12.1|4.1|15.030|0.042|14.072|0.061|0.186
131.614233 +19.209041|-32.1|5.0|-17.2|5.0|14.870|0.038|13.916|0.049|0.200
131.633933 +19.979237|-33.5|5.0|-22.7|5.0|12.281|0.023|11.430|0.020|0.610
131.637671 +18.906711|-36.2|3.7|-11.0|3.7|11.301|0.022|10.619|0.018|0.785
131.639813 +18.235997|-35.9|3.7|-09.0|3.7|11.250|0.022|10.597|0.018|0.795
131.652912 +17.259160|-31.2|3.7|-08.8|3.7|14.196|0.027|13.320|0.030|0.283
131.659237 +19.879111|-30.1|3.6|-14.8|3.6|12.396|0.027|11.510|0.022|0.589
131.662290 +19.619118|-40.2|3.6|-15.8|3.6|13.773|0.029|12.930|0.030|0.347
131.678388 +19.426195|-40.7|3.6|-16.0|3.6|13.944|0.026|13.162|0.031|0.320
131.708842 +21.020240|-37.1|2.2|-15.8|2.2|11.141|0.021|10.544|0.019|0.816
131.723764 +19.049146|-38.2|4.8|-15.6|4.8|14.553|0.035|13.616|0.038|0.236
131.747729 +19.916532|-36.7|4.9|-17.3|4.9|15.482|0.055|14.473|0.070|0.151
131.767704 +22.273786|-39.6|4.0|-11.0|4.0|12.153|0.027|11.283|0.018|0.632
131.770678 +18.928560|-36.3|4.8|-09.9|4.8|14.396|0.036|13.475|0.035|0.256
131.771858 +19.036097|-34.7|4.9|-10.5|4.9|15.326|0.052|14.268|0.060|0.162
131.787957 +18.193685|-37.5|3.6|-13.0|3.6|13.252|0.025|12.416|0.025|0.428
131.789811 +21.230775|-28.4|4.0|-19.4|4.0|13.250|0.023|12.434|0.023|0.428
