#Table: J/MNRAS/434/3236/table2.dat (http://cdsarc.cds.unistra.fr)
-------------------------------------------------------------------------
                     |     |e_p|     |e_p|      |    e|      |    e|
     RAdeg      DEdeg| pmRA|mRA| pmDE|mDE|  Jmag|_Jmag|  Kmag|_Kmag| Mass
---------------------|-----|---|-----|---|------|-----|------|-----|-----
128.514824 +19.795265|-42.6|4.1|-16.0|4.1|11.325|0.022|10.678|0.024|0.780
128.518027 +16.973553|-36.6|4.1|-11.8|4.1|14.335|0.031|13.493|0.042|0.264
128.518154 +20.575087|-40.6|4.1|-15.1|4.1|11.038|0.022|10.442|0.025|0.836
128.520372 +20.679820|-38.6|4.1|-11.4|4.1|13.251|0.021|12.391|0.024|0.428
128.527880 +20.829671|-37.5|5.6|-15.0|5.6|14.651|0.034|13.865|0.042|0.224
128.542669 +19.804931|-38.3|4.1|-14.6|4.1|11.744|0.022|10.989|0.019|0.706
128.547476 +21.070783|-38.3|5.6|-10.1|5.6|15.002|0.032|14.088|0.046|0.188
128.557841 +21.397849|-36.4|4.1|-16.7|4.1|14.272|0.025|13.297|0.036|0.272
128.587154 +20.529024|-37.6|5.6|-17.4|5.6|14.994|0.040|14.159|0.054|0.189
128.588393 +21.878840|-34.9|4.1|-14.2|4.1|11.185|0.021|10.629|0.022|0.807
128.600486 +19.793385|-40.0|4.1|-15.3|4.1|11.285|0.023|10.629|0.022|0.788
128.614091 +18.697272|-36.5|5.6|-17.9|5.6|15.454|0.043|14.465|0.059|0.153
128.628046 +19.100097|-42.3|4.1|-10.5|4.1|13.599|0.023|12.729|0.021|0.372
128.631949 +17.432703|-40.6|4.2|-05.3|4.2|14.622|0.030|13.714|0.044|0.228
128.642871 +21.368696|-35.4|4.1|-14.0|4.1|13.506|0.027|12.644|0.025|0.385
128.642972 +18.799034|-36.4|4.1|-16.9|4.1|13.249|0.025|12.345|0.024|0.428
128.645763 +19.073055|-42.2|4.1|-18.4|4.1|14.264|0.027|13.352|0.027|0.273
128.651910 +18.398080|-39.7|4.1|-10.1|4.1|12.294|0.023|11.432|0.019|0.608
128.665406 +19.136868|-39.7|4.1|-18.7|4.1|13.686|0.023|12.794|0.021|0.359
128.696409 +18.021174|-37.3|4.1|-08.4|4.1|11.527|0.021|10.830|0.019|0.744
128.702118 +17.933011|-42.2|4.2|-15.5|4.2|14.756|0.040|13.917|0.054|0.212
128.705457 +17.430025|-38.3|4.2|-14.0|4.2|13.165|0.022|12.296|0.021|0.444
128.706993 +18.784443|-37.1|4.1|-14.0|4.1|12.817|0.023|11.956|0.022|0.510
128.724384 +18.018204|-43.2|5.5|-11.2|5.5|14.666|0.028|13.759|0.045|0.222
128.728947 +21.648481|-31.5|4.1|-15.9|4.1|14.246|0.027|13.390|0.028|0.276
128.729702 +20.105499|-39.0|4.1|-16.3|4.1|12.774|0.025|11.907|0.020|0.517
128.738866 +17.487793|-39.1|5.7|-15.1|5.7|15.469|0.053|14.455|0.070|0.152
128.746958 +21.143709|-41.3|5.5|-06.3|5.5|14.355|0.028|13.448|0.033|0.261
128.775978 +18.823522|-37.8|4.1|-18.1|4.1|13.841|0.021|12.952|0.024|0.336
128.776372 +19.946679|-36.6|5.5|-15.6|5.5|14.948|0.050|13.987|0.046|0.193
128.782865 +20.339778|-38.0|4.1|-14.0|4.1|13.596|0.027|12.746|0.020|0.372
128.783564 +19.990356|-37.4|4.1|-11.9|4.1|11.167|0.029|10.447|0.019|0.810
128.811557 +19.275481|-35.5|4.1|-16.8|4.1|12.936|0.021|12.073|0.022|0.487
128.813389 +19.375437|-34.6|5.5|-21.2|5.5|15.239|0.047|14.324|0.060|0.169
128.816879 +19.202162|-35.2|4.1|-19.4|4.1|14.354|0.027|13.456|0.032|0.261
128.820632 +19.914839|-33.0|4.1|-11.2|4.1|13.137|0.027|12.291|0.019|0.449
128.820991 +20.969708|-36.4|5.6|-06.9|5.6|15.217|0.048|14.289|0.053|0.171
128.821036 +17.606780|-32.4|4.2|-07.6|4.2|14.060|0.030|13.231|0.034|0.303
128.824052 +20.564599|-33.3|1.2|-12.4|1.3|07.876|0.019|07.761|0.018|1.826
128.824183 +19.636185|-34.5|2.1|-12.3|2.2|10.497|0.021|10.012|0.019|0.949
128.830580 +19.761464|-35.0|4.1|-13.9|4.1|14.248|0.033|13.320|0.034|0.275
128.831027 +19.590064|-34.0|0.7|-12.2|0.6|05.374|0.024|04.997|0.020|2.542
128.840386 +18.492846|-37.7|4.1|-17.1|4.1|13.178|0.023|12.272|0.024|0.441
